Year,Name,Gender,Count
1880,Anita,F,16
1880,Arminta,F,16
1880,Dorothea,F,16
1880,Ira,F,16
1880,Luvenia,F,16
1880,Marjorie,F,16
1880,Maybelle,F,16
1880,Mellie,F,16
1880,Nan,F,16
1880,Pearlie,F,16
1880,Sidney,F,16
1880,Velma,F,16
1880,Clare,F,15
1880,Constance,F,15
1880,Dixie,F,15
1880,Ila,F,15
1880,Iola,F,15
1880,Jimmie,F,15
1880,Louvenia,F,15
1880,Lucia,F,15
1880,Ludie,F,15
1880,Luna,F,15
1880,Metta,F,15
1880,Patsy,F,15
1880,Phebe,F,15
1880,Sophronia,F,15
1880,Adda,F,14
1880,Avis,F,14
1880,Betsy,F,14
1880,Bonnie,F,14
1880,Cecil,F,14
1880,Cordie,F,14
1880,Emmaline,F,14
1880,Ethelyn,F,14
1880,Hortense,F,14
1880,June,F,14
1880,Louie,F,14
1880,Lovie,F,14
1880,Marcella,F,14
1880,Melinda,F,14
1880,Mona,F,14
1880,Odessa,F,14
1880,Veronica,F,14
1880,Aimee,F,13
1880,Annabel,F,13
1880,Ava,F,13
1880,Bella,F,13
1880,Carolina,F,13
1880,Cathrine,F,13
1880,Christena,F,13
1880,Clyde,F,13
1880,Dena,F,13
1880,Dolores,F,13
1880,Eleanore,F,13
1880,Elmira,F,13
1880,Fay,F,13
1880,Frank,F,13
1880,Jenny,F,13
1880,Kizzie,F,13
1880,Lonnie,F,13
1880,Loula,F,13
1880,Magdalene,F,13
1880,Mettie,F,13
1880,Mintie,F,13
1880,Peggy,F,13
1880,Reba,F,13
1880,Serena,F,13
1880,Vida,F,13
1880,Zada,F,13
1880,Abigail,F,12
1880,Celestine,F,12
1880,Celina,F,12
1880,Claudie,F,12
1880,Clemmie,F,12
1880,Connie,F,12
1880,Daisie,F,12
1880,Deborah,F,12
1880,Dessa,F,12
1880,Easter,F,12
1880,Eddie,F,12
1880,Emelia,F,12
1880,Emmie,F,12
1880,Imogene,F,12
1880,India,F,12
1880,Jeanne,F,12
1880,Joan,F,12
1880,Lenore,F,12
1880,Liddie,F,12
1880,Lotta,F,12
1880,Mame,F,12
1880,Nevada,F,12
1880,Rachael,F,12
1880,Robert,F,12
1880,Sina,F,12
1880,Willa,F,12
1880,Aline,F,11
1880,Beryl,F,11
1880,Charles,F,11
1880,Daisey,F,11
1880,Dorcas,F,11
1880,Edmonia,F,11
1880,Effa,F,11
1880,Eldora,F,11
1880,Eloise,F,11
1880,Emmer,F,11
1880,Era,F,11
1880,Gena,F,11
1880,Henry,F,11
1880,Iris,F,11
1880,Izora,F,11
1880,Lennie,F,11
1880,Lissie,F,11
1880,Mallie,F,11
1880,Malvina,F,11
1880,Mathilde,F,11
1880,Mazie,F,11
1880,Queenie,F,11
1880,Rosina,F,11
1880,Salome,F,11
1880,Theodora,F,11
1880,Therese,F,11
1880,Vena,F,11
1880,Wanda,F,11
1880,Wilda,F,11
1880,Altha,F,10
1880,Anastasia,F,10
1880,Besse,F,10
1880,Bird,F,10
1880,Birtie,F,10
1880,Clarissa,F,10
1880,Claude,F,10
1880,Delilah,F,10
1880,Diana,F,10
1880,Emelie,F,10
1880,Erna,F,10
1880,Fern,F,10
1880,Florida,F,10
1880,Frona,F,10
1880,Hilma,F,10
1880,Joseph,F,10
1880,Juliet,F,10
1880,Leonie,F,10
1880,Lugenia,F,10
1880,Mammie,F,10
1880,Manda,F,10
1880,Manerva,F,10
1880,Manie,F,10
1880,Nella,F,10
1880,Paulina,F,10
1880,Philomena,F,10
1880,Rae,F,10
1880,Selina,F,10
1880,Sena,F,10
1880,Theodosia,F,10
1880,Tommie,F,10
1880,Una,F,10
1880,Vernie,F,10
1880,Adela,F,9
1880,Althea,F,9
1880,Amalia,F,9
1880,Amber,F,9
1880,Angelina,F,9
1880,Annabelle,F,9
1880,Anner,F,9
1880,Arie,F,9
1880,Clarice,F,9
1880,Corda,F,9
1880,Corrie,F,9
1880,Dell,F,9
1880,Dellar,F,9
1880,Donie,F,9
1880,Doris,F,9
1880,Elda,F,9
1880,Elinor,F,9
1880,Emeline,F,9
1880,Emilia,F,9
1880,Esta,F,9
1880,Estell,F,9
1880,Etha,F,9
1880,Fred,F,9
1880,Hope,F,9
1880,Indiana,F,9
1880,Ione,F,9
1880,Jettie,F,9
1880,Johnnie,F,9
1880,Josiephine,F,9
1880,Kitty,F,9
1880,Lavina,F,9
1880,Leda,F,9
1880,Letta,F,9
1880,Mahala,F,9
1880,Marcia,F,9
1880,Margarette,F,9
1880,Maudie,F,9
1880,Maye,F,9
1880,Norah,F,9
1880,Oda,F,9
1880,Patty,F,9
1880,Paula,F,9
1880,Permelia,F,9
1880,Rosalia,F,9
1880,Roxanna,F,9
1880,Sula,F,9
1880,Vada,F,9
1880,Winnifred,F,9
1880,Adline,F,8
1880,Almira,F,8
1880,Alvena,F,8
1880,Arizona,F,8
1880,Becky,F,8
1880,Bennie,F,8
1880,Bernadette,F,8
1880,Camille,F,8
1880,Cordia,F,8
1880,Corine,F,8
1880,Dicie,F,8
1880,Dove,F,8
1880,Drusilla,F,8
1880,Elena,F,8
1880,Elenora,F,8
1880,Elmina,F,8
1880,Ethyl,F,8
1880,Evalyn,F,8
1880,Evelina,F,8
1880,Faye,F,8
1880,Huldah,F,8
1880,Idell,F,8
1880,Inga,F,8
1880,Irena,F,8
1880,Jewell,F,8
1880,Kattie,F,8
1880,Lavenia,F,8
1880,Leslie,F,8
1880,Lovina,F,8
1880,Lulie,F,8
1880,Magnolia,F,8
1880,Margeret,F,8
1880,Margery,F,8
1880,Media,F,8
1880,Millicent,F,8
1880,Nena,F,8
1880,Ocie,F,8
1880,Orilla,F,8
1880,Osie,F,8
1880,Pansy,F,8
1880,Ray,F,8
1880,Rosia,F,8
1880,Rowena,F,8
1880,Shirley,F,8
1880,Tabitha,F,8
1880,Thomas,F,8
1880,Verdie,F,8
1880,Walter,F,8
1880,Zetta,F,8
1880,Zoa,F,8
1880,Zona,F,8
1880,Albertina,F,7
1880,Albina,F,7
1880,Alyce,F,7
1880,Amie,F,7
1880,Angela,F,7
1880,Annis,F,7
1880,Carol,F,7
1880,Carra,F,7
1880,Clarence,F,7
1880,Clarinda,F,7
1880,Delphia,F,7
1880,Dillie,F,7
1880,Doshie,F,7
1880,Drucilla,F,7
1880,Etna,F,7
1880,Eugenie,F,7
1880,Eulalia,F,7
1880,Eve,F,7
1880,Felicia,F,7
1880,Florance,F,7
1880,Fronie,F,7
1880,Geraldine,F,7
1880,Gina,F,7
1880,Glenna,F,7
1880,Grayce,F,7
1880,Hedwig,F,7
1880,Jessica,F,7
1880,Jossie,F,7
1880,Katheryn,F,7
1880,Katy,F,7
